2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gemini-2.0-flash-lite", "meta": {"capabilities":["tool_use","vision","generate"],"comment":"Cost efficiency and low latency","name":"gemini-2.0-flash-lite","title":"Gemini 2.0 Flash-Lite","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gemini-2.5-flash", "meta": {"capabilities":["tool_use","vision","generate","audio","video"],"comment":"Fast, cost-efficient AI model with native multimodality and thinking capabilities","name":"gemini-2.5-flash","title":"Gemini 2.5 Flash","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gemini-2.5-pro-preview", "meta": {"capabilities":["tool_use","vision","thinking","generate","structured_output"],"comment":"Google's state-of-the-art thinking model for complex reasoning, coding, multimodal understanding, and large context analysis. Preview version.","name":"gemini-2.5-pro-preview","title":"Gemini 2.5 Pro Preview","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gpt-4.1", "meta": {"capabilities":["tool_use","vision","generate","structured_output"],"comment":"Flagship GPT model for complex tasks","name":"gpt-4.1","title":"GPT-4.1","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gpt-4.1-mini", "meta": {"capabilities":["tool_use","vision","generate","structured_output"],"comment":"Balanced for intelligence, speed, and cost","name":"gpt-4.1-mini","title":"GPT-4.1 Mini","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gpt-4.1-nano", "meta": {"capabilities":["tool_use","vision","generate","structured_output"],"comment":"Fastest, most cost-effective GPT 4.1 model","name":"gpt-4.1-nano","title":"GPT-4.1 Nano","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gpt-4o", "meta": {"capabilities":["tool_use","vision","generate"],"comment":"Fast, intelligent, flexible GPT model with text and image input capabilities","name":"gpt-4o","title":"GPT-4o","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:gpt-4o-mini", "meta": {"capabilities":["tool_use","vision","generate"],"comment":"Fast, affordable small model for focused tasks with text and image input","name":"gpt-4o-mini","title":"GPT-4o Mini","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:o3", "meta": {"capabilities":["tool_use","vision","thinking","generate","structured_output"],"comment":"Most powerful reasoning model with exceptional performance across math, science, coding, and visual reasoning tasks","name":"o3","title":"O3","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:o3-mini", "meta": {"capabilities":["tool_use","thinking","generate"],"comment":"Fast, flexible intelligent reasoning model for complex, multi-step tasks","name":"o3-mini","title":"O3 Mini","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:o4-mini", "meta": {"capabilities":["tool_use","vision","generate","structured_output"],"comment":"Fast, affordable small model for focused tasks with text and image input capabilities","name":"o4-mini","title":"O4 Mini","type":"llm.model"}}
2025-07-31 21:14:33	DEBUG	runner	processing entry	{"id": "wippy.llm.models:text-embedding-3-large", "meta": {"capabilities":["multilingual"],"comment":"Most powerful embedding model for highest accuracy (64.6% on MTEB benchmark)","name":"text-embedding-3-large","title":"Text Embedding 3 Large","type":"llm.embedding"}}
